original_folder,name,method
"Aura Blütenscheibe - Aura Flower Disc","Aura Blütenscheibe Aura",proper_case
"Aura Collier - Aura Collarette","Aura Collier Aura",proper_case
"Aura Farbring","Aura Farbring",proper_case
"Aura Trauring","Aura Trauring",proper_case
"Auri Material","Auri Material",proper_case
"Auslage in Arbeit Werkstatt Vienna","Arbeit Werkstatt Vienna",proper_case
"aussortierte Bilder Grassimesse","Bilder Grassimesse",proper_case
"Ausstellung Bauhausmöbel","Ausstellung Bauhausmöbel",proper_case
"Ausstellung Friedemann Grieshaber","Ausstellung Friedemann Grieshaber",proper_case
"Ausstellung Klaus Prior","Ausstellung Klaus Prior",proper_case
"Ausstellung Metzger 4 S Kopie","Ausstellung Metzger",proper_case
"Auswahl Fulle HiRes","Auswahl Fulle",proper_case
"Auswahl Isezaki.doc","Auswahl Isezaki",proper_case
"Auswahl Niessing","Auswahl Niessing",proper_case
"Auswahl+Text Rijksmuseum","Text Rijksmuseum",proper_case
"Authentische Orte","Authentische Orte",proper_case
"Authentische Orte Text","Authentische Orte Text",proper_case
"Babetto Bott","Babetto Bott",proper_case
"Bakker Material","Bakker Material",proper_case
"Barbara Haus","Barbara Haus",proper_case
"Barbara Nanning","Barbara Nanning",proper_case
"Barbara Schulte-Hengesbach 1","Barbara Schulte Hengesbach",proper_case
"Barbara Turtschi","Barbara Turtschi",proper_case
"Barbora Dzurakova","Barbora Dzurakova",proper_case
"Bartenberger-Geyer, Gudrun","Bartenberger Geyer",proper_case
"Batho Gündra","Batho Gündra",proper_case
"Bauhaus-Uni Weimar","Bauhaus Uni Weimar",proper_case
"Baumgartner Daniela","Baumgartner Daniela",proper_case
"Bay Staatspreise 18","Bay Staatspreise",proper_case
"Bayerische Staatspreise","Bayerische Staatspreise",proper_case
"Bayerische Staatspreise 1:2","Bayerische Staatspreise",proper_case
"Bayerische Staatspreise 4 S","Bayerische Staatspreise",proper_case
"bdK Baden-Wuerttemberg","Baden Wuerttemberg",proper_case
"Beat Lüthi 1:3","Beat Lüthi",proper_case
"Beate Brinkmann","Beate Brinkmann",proper_case
"Beate Brinkmann 1:2 Seite","Beate Brinkmann",proper_case
"Beate Brinkmann 1:3","Beate Brinkmann",proper_case
"Beate Brinkmann 1:4","Beate Brinkmann",proper_case
"Beate Brinkmann 1:6","Beate Brinkmann",proper_case
